"date","djia","nasdaqcom","btc","sp500","rate"
2018-11-15,0.121790576735691,-0.283106358278698,-0.408006635888656,-0.19130521356268,1.72586707933925
2018-11-16,0.1427861509137,-0.286434527548974,-0.412374538442346,-0.183750560199843,1.72586707933925
2018-11-19,0.0757459867493398,-0.351862876015184,-0.454803683678325,-0.240429129251503,1.72586707933925
2018-11-20,-0.0177220070499774,-0.387546158962884,-0.480091491161495,-0.301214840988066,1.72586707933925
2018-11-21,-0.0178829251255654,-0.368631063610149,-0.471033887916039,-0.291208347901211,1.72586707933925
2018-11-22,NA,NA,-0.485269950581454,NA,NA
2018-11-23,-0.0481592375787908,-0.378551751687657,-0.486404718358465,-0.312826853488109,1.72586707933925
2018-11-26,0.0118530413685818,-0.335945220567068,-0.520633221251082,-0.261935621856085,1.72586707933925
2018-11-27,0.030229885600709,-0.335692625641269,-0.518126853953749,-0.251082808458402,1.72586707933925
2018-11-28,0.134860512222381,-0.273395321007373,-0.491809754650338,-0.174391253233034,1.72586707933925
2018-11-29,0.130187112532415,-0.278916026162511,-0.490518501659022,-0.181896123048174,1.72586707933925
2018-11-30,0.164000234899612,-0.261782217104701,-0.506282134046572,-0.154004890451607,1.72586707933925
2018-12-03,0.212778738296476,-0.228686317363894,-0.513702851558,-0.116418311941284,1.71356428924019
2018-12-04,0.0773771878734564,-0.313109088514908,-0.509920532552074,-0.228817116751459,1.72586707933925
2018-12-05,NA,NA,-0.522147946756884,NA,1.72586707933925
2018-12-06,0.0639278245032752,-0.304212498401031,-0.536182915002159,-0.233932376277202,1.72586707933925
2018-12-07,-0.0307123304361129,-0.369524539876614,-0.542279452289501,-0.312179667368064,1.71356428924019
2018-12-10,-0.0249006470956736,-0.354235836847047,-0.537294524874192,-0.306404775835352,1.72586707933925
2018-12-11,-0.0338815695879526,-0.350862337672731,-0.541999173704145,-0.307574689206203,1.71356428924019
2018-12-12,-0.00728265863052832,-0.331036170893411,-0.538241013159297,-0.289789516791881,1.71356428924019
2018-12-13,0.00459309534785188,-0.339379557244174,-0.548683060141409,-0.29044914879885,1.71356428924019
2018-12-14,-0.079570445933531,-0.386997428545562,-0.55297336749951,-0.353412890747104,1.71356428924019
2018-12-17,-0.165539657410456,-0.43379757223592,-0.534690611824164,-0.420633126023348,1.72586707933925
2018-12-18,-0.151538090959837,-0.424798393391848,-0.525639364517471,-0.420359316511021,1.72586707933925
2018-12-19,-0.211159084902359,-0.468661636457324,-0.522632718326571,-0.469147193252897,1.72586707933925
2018-12-20,-0.289765024015283,-0.500995576297992,-0.499220879406242,-0.518358230150188,1.97192288132058
2018-12-21,-0.359930386595006,-0.559271343063638,-0.513557445078397,-0.581583335723845,1.97192288132058
2018-12-24,-0.470569185996782,-0.601045831866658,-0.50258613501552,-0.663128786849553,1.97192288132058
2018-12-25,NA,NA,-0.51844198712146,NA,NA
2018-12-26,-0.286572070620725,-0.493256986298495,-0.515922554922591,-0.518009745316318,1.97192288132058
2018-12-27,-0.242468660788307,-0.485760553417946,-0.52812376562198,-0.491711586246015,1.97192288132058
2018-12-28,-0.255413249563486,-0.484260193238846,-0.511907729772084,-0.495557365305516,1.97192288132058
2018-12-31,-0.210515412600008,-0.46912418041236,-0.522828589702855,-0.469284098009061,1.97192288132058
